GridID,X_Lon,Y_Lat,M8H_O3
1,109.45,18.15,73.0
2,109.55,18.15,72.0
3,109.65,18.15,73.0
4,109.45,18.25,73.0
5,109.55,18.25,72.0
6,109.65,18.25,71.0
7,109.75,18.25,72.0
8,108.95,18.35,73.0
9,109.05,18.35,72.0
10,109.15,18.35,71.0
11,109.25,18.35,72.0
12,109.35,18.35,69.0
13,109.45,18.35,66.0
14,109.55,18.35,67.0
15,109.65,18.35,70.0
16,109.75,18.35,72.0
21,108.85,18.45,74.0
22,108.95,18.45,72.0
23,109.05,18.45,70.0
24,109.15,18.45,68.0
25,109.25,18.45,71.0
26,109.35,18.45,71.0
27,109.45,18.45,70.0
28,109.55,18.45,65.0
29,109.65,18.45,65.0
30,109.75,18.45,67.0
31,109.85,18.45,63.0
32,109.95,18.45,63.0
33,110.05,18.45,63.0
34,108.65,18.55,74.0
35,108.75,18.55,75.0
36,108.85,18.55,72.0
37,108.95,18.55,71.0
38,109.05,18.55,70.0
39,109.15,18.55,69.0
40,109.25,18.55,70.0
41,109.35,18.55,71.0
42,109.45,18.55,70.0
43,109.55,18.55,67.0
44,109.65,18.55,65.0
45,109.75,18.55,64.0
46,109.85,18.55,61.0
47,109.95,18.55,63.0
48,110.05,18.55,63.0
49,110.15,18.55,62.0
50,108.75,18.65,71.0
51,108.85,18.65,73.0
52,108.95,18.65,69.0
53,109.05,18.65,68.0
54,109.15,18.65,68.0
55,109.25,18.65,71.0
56,109.35,18.65,70.0
57,109.45,18.65,69.0
58,109.55,18.65,67.0
59,109.65,18.65,63.0
60,109.75,18.65,63.0
61,109.85,18.65,63.0
62,109.95,18.65,61.0
63,110.05,18.65,59.0
64,110.15,18.65,59.0
65,110.25,18.65,59.0
66,110.35,18.65,64.0
67,110.45,18.65,66.0
68,108.65,18.75,74.0
69,108.75,18.75,70.0
70,108.85,18.75,69.0
71,108.95,18.75,68.0
72,109.05,18.75,65.0
73,109.15,18.75,67.0
74,109.25,18.75,69.0
75,109.35,18.75,69.0
76,109.45,18.75,68.0
77,109.55,18.75,67.0
78,109.65,18.75,65.0
79,109.75,18.75,63.0
80,109.85,18.75,63.0
81,109.95,18.75,62.0
82,110.05,18.75,57.0
83,110.15,18.75,57.0
84,110.25,18.75,55.0
85,110.35,18.75,59.0
86,110.45,18.75,65.0
87,110.55,18.75,65.0
88,108.65,18.85,73.0
89,108.75,18.85,72.0
90,108.85,18.85,68.0
91,108.95,18.85,67.0
92,109.05,18.85,65.0
93,109.15,18.85,67.0
94,109.25,18.85,68.0
95,109.35,18.85,69.0
96,109.45,18.85,67.0
97,109.55,18.85,68.0
98,109.65,18.85,66.0
99,109.75,18.85,64.0
100,109.85,18.85,63.0
101,109.95,18.85,63.0
102,110.05,18.85,60.0
103,110.15,18.85,55.0
104,110.25,18.85,56.0
105,110.35,18.85,56.0
106,110.45,18.85,60.0
107,110.55,18.85,65.0
108,108.65,18.95,76.0
109,108.75,18.95,73.0
110,108.85,18.95,72.0
111,108.95,18.95,70.0
112,109.05,18.95,65.0
113,109.15,18.95,69.0
114,109.25,18.95,68.0
115,109.35,18.95,68.0
116,109.45,18.95,69.0
117,109.55,18.95,68.0
118,109.65,18.95,67.0
119,109.75,18.95,65.0
120,109.85,18.95,63.0
121,109.95,18.95,64.0
122,110.05,18.95,63.0
123,110.15,18.95,60.0
124,110.25,18.95,53.0
125,110.35,18.95,53.0
126,110.45,18.95,58.0
127,110.55,18.95,62.0
128,108.65,19.05,75.0
129,108.75,19.05,72.0
130,108.85,19.05,72.0
131,108.95,19.05,71.0
132,109.05,19.05,65.0
133,109.15,19.05,68.0
134,109.25,19.05,68.0
135,109.35,19.05,68.0
136,109.45,19.05,70.0
137,109.55,19.05,68.0
138,109.65,19.05,68.0
139,109.75,19.05,66.0
140,109.85,19.05,64.0
141,109.95,19.05,64.0
142,110.05,19.05,63.0
143,110.15,19.05,60.0
144,110.25,19.05,55.0
145,110.35,19.05,53.0
146,110.45,19.05,56.0
147,110.55,19.05,60.0
148,108.65,19.15,80.0
149,108.75,19.15,75.0
150,108.85,19.15,72.0
151,108.95,19.15,70.0
152,109.05,19.15,67.0
153,109.15,19.15,67.0
154,109.25,19.15,67.0
155,109.35,19.15,68.0
156,109.45,19.15,67.0
157,109.55,19.15,67.0
158,109.65,19.15,66.0
159,109.75,19.15,65.0
160,109.85,19.15,64.0
161,109.95,19.15,64.0
162,110.05,19.15,60.0
163,110.15,19.15,58.0
164,110.25,19.15,54.0
165,110.35,19.15,52.0
166,110.45,19.15,52.0
167,110.55,19.15,55.0
168,108.65,19.25,82.0
169,108.75,19.25,78.0
170,108.85,19.25,76.0
171,108.95,19.25,73.0
172,109.05,19.25,70.0
173,109.15,19.25,68.0
174,109.25,19.25,67.0
175,109.35,19.25,66.0
176,109.45,19.25,67.0
177,109.55,19.25,65.0
178,109.65,19.25,66.0
179,109.75,19.25,64.0
180,109.85,19.25,64.0
181,109.95,19.25,64.0
182,110.05,19.25,59.0
183,110.15,19.25,57.0
184,110.25,19.25,56.0
185,110.35,19.25,53.0
186,110.45,19.25,53.0
187,110.55,19.25,56.0
188,110.65,19.25,59.0
189,108.65,19.35,83.0
190,108.75,19.35,82.0
191,108.85,19.35,79.0
192,108.95,19.35,77.0
193,109.05,19.35,72.0
194,109.15,19.35,68.0
195,109.25,19.35,68.0
196,109.35,19.35,66.0
197,109.45,19.35,67.0
198,109.55,19.35,67.0
199,109.65,19.35,65.0
200,109.75,19.35,65.0
201,109.85,19.35,64.0
202,109.95,19.35,65.0
203,110.05,19.35,64.0
204,110.15,19.35,58.0
205,110.25,19.35,54.0
206,110.35,19.35,55.0
207,110.45,19.35,54.0
208,110.55,19.35,56.0
209,110.65,19.35,57.0
210,108.85,19.45,82.0
211,108.95,19.45,80.0
212,109.05,19.45,74.0
213,109.15,19.45,69.0
214,109.25,19.45,67.0
215,109.35,19.45,67.0
216,109.45,19.45,66.0
217,109.55,19.45,66.0
218,109.65,19.45,67.0
219,109.75,19.45,66.0
220,109.85,19.45,65.0
221,109.95,19.45,65.0
222,110.05,19.45,65.0
223,110.15,19.45,65.0
224,110.25,19.45,56.0
225,110.35,19.45,54.0
226,110.45,19.45,54.0
227,110.55,19.45,56.0
228,110.65,19.45,57.0
229,110.75,19.45,58.0
230,108.95,19.55,83.0
231,109.05,19.55,81.0
232,109.15,19.55,72.0
233,109.25,19.55,70.0
234,109.35,19.55,68.0
235,109.45,19.55,67.0
236,109.55,19.55,67.0
237,109.65,19.55,65.0
238,109.75,19.55,66.0
239,109.85,19.55,67.0
240,109.95,19.55,66.0
241,110.05,19.55,66.0
242,110.15,19.55,66.0
243,110.25,19.55,59.0
244,110.35,19.55,57.0
245,110.45,19.55,55.0
246,110.55,19.55,56.0
247,110.65,19.55,56.0
